Location,Latitude,Longitude,Context,Presence
Canada,61.0666922,-107.991707,"But when I stood on the shore they at once rose up with a great flapping of wings at the signal of their commander, and when they had got into rank circled about over my head, twenty-nine of them, and then steered straight to Canada, with a regular honk from the leader at intervals, trusting to break their fast in muddier pools.",Likely physically present (positive sentiment)
Canada,61.0666922,-107.991707,"He was about twenty-eight years old, and had left Canada and his father’s house a dozen years before to work in the States, and earn money to buy a farm with at last, perhaps in his native country.",Unclear
Ohio,40.2253569,-82.6881395,"The wild goose is more of a cosmopolite than we; he breaks his fast in Canada, takes a luncheon in the Ohio, and plumes himself for the night in a southern bayou.",Unclear
Colorado,38.7251776,-105.607716,"Even the bison, to some extent, keeps pace with the seasons cropping the pastures of the Colorado only till a greener and sweeter grass awaits him by the Yellowstone.",Unclear
Yellowstone,45.9645464,-108.276076,"Even the bison, to some extent, keeps pace with the seasons cropping the pastures of the Colorado only till a greener and sweeter grass awaits him by the Yellowstone.",Unclear
Tierra del Fuego,-54.4071064,-67.8974895,"If you are chosen town clerk, forsooth, you cannot go to Tierra del Fuego this summer: but you may go to the land of infernal fire nevertheless.",Unclear
Tierra del Fuego,-54.4071064,-67.8974895,"Darwin, the naturalist, says of the inhabitants of Tierra del Fuego, that while his own party, who were well clothed and sitting close to a fire, were far from too warm, these naked savages, who were farther off, were observed, to his great surprise, “to be streaming with perspiration at undergoing such a roasting.”",Likely physically present (positive sentiment)
Africa,11.5024338,17.7578122,One hastens to southern Africa to chase the giraffe; but surely that is not the game he would be after.,Likely physically present (positive sentiment)
Africa,11.5024338,17.7578122,It is as much Asia or Africa as New England.,Unclear
West,18.7668687,-72.4387315,"The low shrub oak plateau to which the opposite shore arose stretched away toward the prairies of the West and the steppes of Tartary, affording ample room for all the roving families of men.",Unclear
Nile,46.836279,-120.94459953999998,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",Unclear
Nile,46.836279,-120.94459953999998,"As for the Pyramids, there is nothing to wonder at in them so much as the fact that so many men could be found degraded enough to spend their lives constructing a tomb for some ambitious booby, whom it would have been wiser and manlier to have drowned in the Nile, and then given his body to the dogs.",Unclear
Nile,46.836279,-120.94459953999998,"Or I was attracted by the passage of wild pigeons from this wood to that, with a slight quivering winnowing sound and carrier haste; or from under a rotten stump my hoe turned up a sluggish portentous and outlandish spotted salamander, a trace of Egypt and the Nile, yet our contemporary.",Unclear
Niger,17.7356214,9.3238432,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",Unclear
Mississippi,32.9715285,-89.7348497,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",Unclear
Mississippi,32.9715285,-89.7348497,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",Unclear
a Northwest Passage,41.1754197,-85.13455033923398,"Is it the source of the Nile, or the Niger, or the Mississippi, or a Northwest Passage around this continent, that we would find?",Unclear
the Mungo Park,55.75734642119591,-4.190081656560633,"Be rather the Mungo Park, the Lewis and Clark and Frobisher, of your own streams and oceans; explore your own higher latitudes﻿—with shiploads of preserved meats to support you, if they be necessary; and pile the empty cans sky-high for a sign.",Unclear
the Lewis and Clark and,45.603000550000004,-121.18215033194784,"Be rather the Mungo Park, the Lewis and Clark and Frobisher, of your own streams and oceans; explore your own higher latitudes﻿—with shiploads of preserved meats to support you, if they be necessary; and pile the empty cans sky-high for a sign.",Unclear
Frobisher,49.2083214,-102.4277764,"Be rather the Mungo Park, the Lewis and Clark and Frobisher, of your own streams and oceans; explore your own higher latitudes﻿—with shiploads of preserved meats to support you, if they be necessary; and pile the empty cans sky-high for a sign.",Unclear
Atlantic,39.5143268,-74.6632883,"What was the meaning of that South-Sea Exploring Expedition, with all its parade and expense, but an indirect recognition of the fact that there are continents and seas in the moral world to which every man is an isthmus or an inlet, yet unexplored by him, but that it is easier to sail many thousand miles through cold and storm and cannibals, in a government ship, with five hundred men and boys to assist one, than it is to explore the private sea, the Atlantic and Pacific Ocean of one’s being alone.",Unclear
Atlantic,39.5143268,-74.6632883,"We are eager to tunnel under the Atlantic and bring the Old World some weeks nearer to the New; but perchance the first news that will leak through into the broad, flapping American ear will be that the Princess Adelaide has the whooping cough.",Unclear
Atlantic,39.5143268,-74.6632883,Even the sailor on the Atlantic and Pacific is awakened by his voice; but its shrill sound never roused me from my slumbers.,Unclear
Atlantic,39.5143268,-74.6632883,"With favoring winds it is wafted past the site of the fabulous islands of Atlantis and the Hesperides, makes the periplus of Hanno, and, floating by Ternate and Tidore and the mouth of the Persian Gulf, melts in the tropic gales of the Indian seas, and is landed in ports of which Alexander only heard the names.",Likely physically present (positive sentiment)
Pacific Ocean,-0.703107,-120.9375,"What was the meaning of that South-Sea Exploring Expedition, with all its parade and expense, but an indirect recognition of the fact that there are continents and seas in the moral world to which every man is an isthmus or an inlet, yet unexplored by him, but that it is easier to sail many thousand miles through cold and storm and cannibals, in a government ship, with five hundred men and boys to assist one, than it is to explore the private sea, the Atlantic and Pacific Ocean of one’s being alone.",Unclear
Zanzibar,-6.1664908,39.2074312,"
“Erret, et extremos alter scrutetur Iberos.
lus habet hic vitae, plus habet ille viae.
Let them wander and scrutinize the outlandish Australians
I have more of God, they more of the road.
It is not worth the while to go round the world to count the cats in Zanzibar.",Unclear
England,52.5310214,-1.2649062,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",Unclear
England,52.5310214,-1.2649062,"It is a ridiculous demand which England and America make, that you shall speak so that they can understand you.",Unclear
England,52.5310214,-1.2649062,"While England endeavors to cure the potato-rot, will not any endeavor to cure the brain-rot, which prevails so much more widely and fatally?",Unclear
England,52.5310214,-1.2649062,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",Likely physically present (positive sentiment)
England,52.5310214,-1.2649062,"Such too, to a greater or less extent, is the condition of the operatives of every denomination in England, which is the great workhouse of the world.",Likely physically present (positive sentiment)
England,52.5310214,-1.2649062,"This spending of the best part of one’s life earning money in order to enjoy a questionable liberty during the least valuable part of it reminds me of the Englishman who went to India to make a fortune first, in order that he might return to England and live the life of a poet.",Likely physically present (positive sentiment)
England,52.5310214,-1.2649062,"I look upon England today as an old gentleman who is travelling with a great deal of baggage, trumpery which has accumulated from long housekeeping, which he has not the courage to burn; great trunk, little trunk, bandbox, and bundle.",Likely physically present (positive sentiment)
England,52.5310214,-1.2649062,"I once heard a reverend lecturer on England, a man of learning and intelligence, after enumerating her scientific, literary, and political worthies, Shakespeare, Bacon, Cromwell, Milton, Newton, and others, speak next of her Christian heroes, whom, as if his profession required it of him, he elevated to a place far above all the rest, as the greatest of the great.",Likely physically present (positive sentiment)
England,52.5310214,-1.2649062,"The last were not England’s best men and women; only, perhaps, her best philanthropists.",Unclear
England,52.5310214,-1.2649062,"They mistake who assert that the Yankee has few amusements, because he has not so many public holidays, and men and boys do not play so many games as they do in England, for here the more primitive but solitary amusements of hunting, fishing, and the like have not yet given place to the former.",Likely physically present (positive sentiment)
England,52.5310214,-1.2649062,"Such apparently slight causes destroyed Greece and Rome, and will destroy England and America.",Unclear
England,52.5310214,-1.2649062,"Gilpin, in his account of the forest borderers of England, says that “the encroachments of trespassers, and the houses and fences thus raised on the borders of the forest,” were “considered as great nuisances by the old forest law, and were severely punished under the name of purprestures, as tending ad terrorem ferarum﻿—ad nocumentum forestae, etc.,” to the frightening of the game and the detriment of the forest.",Unclear
England,52.5310214,-1.2649062,"As for Spain, for instance, if you know how to throw in Don Carlos and the Infanta, and Don Pedro and Seville and Granada, from time to time in the right proportions﻿—they may have changed the names a little since I saw the papers﻿—and serve up a bullfight when other entertainments fail, it will be true to the letter, and give us as good an idea of the exact state or ruin of things in Spain as the most succinct and lucid reports under this head in the newspapers: and as for England, almost the last significant scrap of news from that quarter was the revolution of 1649; and if you have learned the history of her crops for an average year, you never need attend to that thing again, unless your speculations are of a merely pecuniary character.",Physically present
Portugal,39.6621648,-8.1353519,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",Unclear
Gold Coast,-28.0023731,153.4145987,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",Unclear
Slave Coast,-4.6473978,39.3805105,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",Unclear
India,22.3511148,78.6677428,"England and France, Spain and Portugal, Gold Coast and Slave Coast, all front on this private sea; but no bark from them has ventured out of sight of land, though it is without doubt the direct way to India.",Unclear
India,22.3511148,78.6677428,"This spending of the best part of one’s life earning money in order to enjoy a questionable liberty during the least valuable part of it reminds me of the Englishman who went to India to make a fortune first, in order that he might return to England and live the life of a poet.",Likely physically present (positive sentiment)
India,22.3511148,78.6677428,"It was fit that I should live on rice, mainly, who love so well the philosophy of India.",Likely physically present (positive sentiment)
India,22.3511148,78.6677428,"Those summer days which some of my contemporaries devoted to the fine arts in Boston or Rome, and others to contemplation in India, and others to trade in London or New York, I thus, with the other farmers of New England, devoted to husbandry.",Likely physically present (positive sentiment)
Pacific,46.5334929,-123.768029,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",Unclear
Pacific,46.5334929,-123.768029,Even the sailor on the Atlantic and Pacific is awakened by his voice; but its shrill sound never roused me from my slumbers.,Unclear
China,35.0000663,104.999955,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",Unclear
China,35.0000663,104.999955,Consider the China pride and stagnant self-complacency of mankind.,Unclear
China,35.0000663,104.999955,"As for your high towers and monuments, there was a crazy fellow once in this town who undertook to dig through to China, and he got so far that, as he said, he heard the Chinese pots and kettles rattle; but I think that I shall not go out of my way to admire the hole which he made.",Likely physically present (positive sentiment)
Japan,36.5748441,139.2394179,"Start now on that farthest western way, which does not pause at the Mississippi or the Pacific, nor conduct toward a worn-out China or Japan, but leads on direct, a tangent to this sphere, summer and winter, day and night, sun down, moon down, and at last earth down too.",Unclear
Cambridge,52.2055314,0.1186637,"Southern customers objected to its blue color, which is the evidence of its purity, as if it were muddy, and preferred the Cambridge ice, which is white, but tastes of weeds.",Unclear
Cambridge,52.2055314,0.1186637,"
To speak literally, a hundred Irishmen, with Yankee overseers, came from Cambridge every day to get out the ice.",Unclear
Kouroo,,,There was an artist in the city of Kouroo who was disposed to strive after perfection.,Likely physically present (positive sentiment)
Kouroo,,,"Before he had found a stock in all respects suitable the city of Kouroo was a hoary ruin, and he sat on one of its mounds to peel the stick.",Unclear
California,36.7014631,-118.755997,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",Likely physically present (positive sentiment)
Texas,31.2638905,-98.5456116,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",Likely physically present (positive sentiment)
Texas,31.2638905,-98.5456116,"We are in great haste to construct a magnetic telegraph from Maine to Texas; but Maine and Texas, it may be, have nothing important to communicate.",Unclear
Texas,31.2638905,-98.5456116,"We are in great haste to construct a magnetic telegraph from Maine to Texas; but Maine and Texas, it may be, have nothing important to communicate.",Unclear
Indies,48.8639307,2.3338116,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",Likely physically present (positive sentiment)
Georgia,32.3293809,-83.1137366,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",Likely physically present (positive sentiment)
Massachusetts,42.3788774,-72.032366,"They tell me of California and Texas, of England and the Indies, of the Hon. Mr. —﻿—﻿— of Georgia or of Massachusetts, all transient and fleeting phenomena, till I am ready to leap from their courtyard like the Mameluke bey.",Likely physically present (positive sentiment)
Massachusetts,42.3788774,-72.032366,"When I wrote the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.",Physically present
Massachusetts,42.3788774,-72.032366,I doubt if there is such a place in Massachusetts now:﻿,Unclear
Massachusetts,42.3788774,-72.032366,"
I felt proud to know that the liberties of Massachusetts and of our fatherland were in such safe keeping; and as I turned to my hoeing again I was filled with an inexpressible confidence, and pursued my labor cheerfully with a calm trust in the future.",Likely physically present (positive sentiment)
Boston,42.3554334,-71.060511,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",Likely physically present (positive sentiment)
Boston,42.3554334,-71.060511,"No doubt, many of my townsmen have met me returning from this enterprise, farmers starting for Boston in the twilight, or woodchoppers going to their work.",Unclear
Boston,42.3554334,-71.060511,"They are but improved means to an unimproved end, an end which it was already but too easy to arrive at; as railroads lead to Boston or New York.",Likely physically present (positive sentiment)
Boston,42.3554334,-71.060511,"There, too, I admired, though I did not gather, the cranberries, small waxen gems, pendants of the meadow grass, pearly and red, which the farmer plucks with an ugly rake, leaving the smooth meadow in a snarl, heedlessly measuring them by the bushel and the dollar only, and sells the spoils of the meads to Boston and New York; destined to be jammed, to satisfy the tastes of lovers of Nature there.",Likely physically present (positive sentiment)
Boston,42.3554334,-71.060511,"If we will read newspapers, why not skip the gossip of Boston and take the best newspaper in the world at once?﻿—not be sucking the pap of “neutral family” papers, or browsing “Olive Branches” here in New England.",Likely physically present (positive sentiment)
Boston,42.3554334,-71.060511,"As I sit at my window this summer afternoon, hawks are circling about my clearing; the tantivy of wild pigeons, flying by two and threes athwart my view, or perching restless on the white pine boughs behind my house, gives a voice to the air; a fish hawk dimples the glassy surface of the pond and brings up a fish; a mink steals out of the marsh before my door and seizes a frog by the shore; the sedge is bending under the weight of the reedbirds flitting hither and thither; and for the last half-hour I have heard the rattle of railroad cars, now dying away and then reviving like the beat of a partridge, conveying travellers from Boston to the country.",Unclear
Boston,42.3554334,-71.060511,"Their train of clouds stretching far behind and rising higher and higher, going to heaven while the cars are going to Boston, conceals the sun for a minute and casts my distant field into the shade, a celestial train beside which the petty train of cars which hugs the earth is but the barb of the spear.",Unclear
Boston,42.3554334,-71.060511,"I have been astonished at the miracles it has wrought; that some of my neighbors, who, I should have prophesied, once for all, would never get to Boston by so prompt a conveyance, are on hand when the bell rings.",Likely physically present (positive sentiment)
Boston,42.3554334,-71.060511,"
When I was four years old, as I well remember, I was brought from Boston to this my native town, through these very woods and this field, to the pond.",Unclear
Boston,42.3554334,-71.060511,"Those summer days which some of my contemporaries devoted to the fine arts in Boston or Rome, and others to contemplation in India, and others to trade in London or New York, I thus, with the other farmers of New England, devoted to husbandry.",Likely physically present (positive sentiment)
Boston,42.3554334,-71.060511,A huckleberry never reaches Boston; they have not been known there since they grew on her three hills.,Unclear
Boston,42.3554334,-71.060511,"Let us settle ourselves, and work and wedge our feet downward through the mud and slush of opinion, and prejudice, and tradition, and delusion, and appearance, that alluvion which covers the globe, through Paris and London, through New York and Boston and Concord, through Church and State, through poetry and philosophy and religion, till we come to a hard bottom and rocks in place, which we can call reality, and say, This is, and no mistake; and then begin, having a point d’appui, below freshet and frost and fire, a place where you might found a wall or a state, or set a lamppost safely, or perhaps a gauge, not a Nilometer, but a Realometer, that future ages might know how deep a freshet of shams and appearances had gathered from time to time.",Unclear
London,51.4893335,-0.14405508452768728,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",Likely physically present (positive sentiment)
London,51.4893335,-0.14405508452768728,"Those summer days which some of my contemporaries devoted to the fine arts in Boston or Rome, and others to contemplation in India, and others to trade in London or New York, I thus, with the other farmers of New England, devoted to husbandry.",Likely physically present (positive sentiment)
London,51.4893335,-0.14405508452768728,"Let us settle ourselves, and work and wedge our feet downward through the mud and slush of opinion, and prejudice, and tradition, and delusion, and appearance, that alluvion which covers the globe, through Paris and London, through New York and Boston and Concord, through Church and State, through poetry and philosophy and religion, till we come to a hard bottom and rocks in place, which we can call reality, and say, This is, and no mistake; and then begin, having a point d’appui, below freshet and frost and fire, a place where you might found a wall or a state, or set a lamppost safely, or perhaps a gauge, not a Nilometer, but a Realometer, that future ages might know how deep a freshet of shams and appearances had gathered from time to time.",Unclear
Paris,48.8534951,2.3483915,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",Likely physically present (positive sentiment)
Paris,48.8534951,2.3483915,"The head monkey at Paris puts on a traveller’s cap, and all the monkeys in America do the same.",Unclear
Paris,48.8534951,2.3483915,"Michaux, more than thirty years ago, says that the price of wood for fuel in New York and Philadelphia “nearly equals, and sometimes exceeds, that of the best wood in Paris, though this immense capital annually requires more than three hundred thousand cords, and is surrounded to the distance of three hundred miles by cultivated plains.”",Likely physically present (positive sentiment)
Paris,48.8534951,2.3483915,Shall the world be confined to one Paris or one Oxford forever?,Unclear
Paris,48.8534951,2.3483915,"Let us settle ourselves, and work and wedge our feet downward through the mud and slush of opinion, and prejudice, and tradition, and delusion, and appearance, that alluvion which covers the globe, through Paris and London, through New York and Boston and Concord, through Church and State, through poetry and philosophy and religion, till we come to a hard bottom and rocks in place, which we can call reality, and say, This is, and no mistake; and then begin, having a point d’appui, below freshet and frost and fire, a place where you might found a wall or a state, or set a lamppost safely, or perhaps a gauge, not a Nilometer, but a Realometer, that future ages might know how deep a freshet of shams and appearances had gathered from time to time.",Unclear
Rome,41.8933203,12.4829321,"This generation inclines a little to congratulate itself on being the last of an illustrious line; and in Boston and London and Paris and Rome, thinking of its long descent, it speaks of its progress in art and science and literature with satisfaction.",Likely physically present (positive sentiment)
Rome,41.8933203,12.4829321,"Such apparently slight causes destroyed Greece and Rome, and will destroy England and America.",Unclear
Rome,41.8933203,12.4829321,"They had not learned the nobler dialects of Greece and Rome, but the very materials on which they were written were waste paper to them, and they prized instead a cheap contemporary literature.",Unclear
Rome,41.8933203,12.4829321,"Those summer days which some of my contemporaries devoted to the fine arts in Boston or Rome, and others to contemplation in India, and others to trade in London or New York, I thus, with the other farmers of New England, devoted to husbandry.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"If we have had the seven-years’ itch, we have not seen the seventeen-year locust yet in Concord.",Physically present
Concord,43.207178,-71.537476,"When I wrote the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.",Physically present
Concord,43.207178,-71.537476,"I have travelled a good deal in Concord; and everywhere, in shops, and offices, and fields, the inhabitants have appeared to me to be doing penance in a thousand remarkable ways.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"
When I consider my neighbors, the farmers of Concord, who are at least as well off as the other classes, I find that for the most part they have been toiling twenty, thirty, or forty years, that they may become the real owners of their farms, which commonly they have inherited with encumbrances, or else bought with hired money﻿—and we may regard one third of that toil as the cost of their houses﻿—but commonly they have not paid for them yet.",Unclear
Concord,43.207178,-71.537476,I doubt if there are three such men in Concord.,Unclear
Concord,43.207178,-71.537476,"
I intend to build me a house which will surpass any on the main street in Concord in grandeur and luxury, as soon as it pleases me as much and will cost me no more than my present one.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"All things considered, that is, considering the importance of a man’s soul and of today, notwithstanding the short time occupied by my experiment, nay, partly even because of its transient character, I believe that that was doing better than any farmer in Concord did that year.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"I was more independent than any farmer in Concord, for I was not anchored to a house or farm, but could follow the bent of my genius, which is a very crooked one, every moment.",Unclear
Concord,43.207178,-71.537476,"Yet so far are we from simplicity and independence that, in Concord, fresh and sweet meal is rarely sold in the shops, and hominy and corn in a still coarser form are hardly used by any.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"A robust poor man, one sunny day here in Concord, praised a fellow-townsman to me, because, as he said, he was kind to the poor; meaning himself.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"East of my bean-field, across the road, lived Cato Ingraham, slave of Duncan Ingraham, Esquire, gentleman, of Concord village, who built his slave a house, and gave him permission to live in Walden Woods;﻿—Cato, not Uticensis, but Concordiensis.",Physically present
Concord,43.207178,-71.537476,"With him dwelt Fenda, his hospitable wife, who told fortunes, yet pleasantly﻿—large, round, and black, blacker than any of the children of night, such a dusky orb as never rose on Concord before or since.",Unclear
Concord,43.207178,-71.537476,"
But this small village, germ of something more, why did it fail while Concord keeps its ground?",Unclear
Concord,43.207178,-71.537476,What does our Concord culture amount to?,Unclear
Concord,43.207178,-71.537476,"I aspire to be acquainted with wiser men than this our Concord soil has produced, whose names are hardly known here.",Unclear
Concord,43.207178,-71.537476,"The solitary hired man on a farm in the outskirts of Concord, who has had his second birth and peculiar religious experience, and is driven as he believes into the silent gravity and exclusiveness by his faith, may think it is not true; but Zoroaster, thousands of years ago, travelled the same road and had the same experience; but he, being wise, knew it to be universal, and treated his neighbors accordingly, and is even said to have invented and established worship among men.",Mentally present
Concord,43.207178,-71.537476,Cannot students be boarded here and get a liberal education under the skies of Concord?,Unclear
Concord,43.207178,-71.537476,"when I see them lying on the ice, or in the well which the fisherman cuts in the ice, making a little hole to admit the water, I am always surprised by their rare beauty, as if they were fabulous fishes, they are so foreign to the streets, even to the woods, foreign as Arabia to our Concord life.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"All our Concord waters have two colors at least; one when viewed at a distance, and another, more proper, close at hand.",Unclear
Concord,43.207178,-71.537476,"I was seated by the shore of a small pond, about a mile and a half south of the village of Concord and somewhat higher than it, in the midst of an extensive wood between that town and Lincoln, and about two miles south of that our only field known to fame, Concord Battle Ground; but I was so low in the woods that the opposite shore, half a mile off, like the rest, covered with wood, was my most distant horizon.",Unclear
Concord,43.207178,-71.537476,"If I should only give a few pulls at the parish bell-rope, as for a fire, that is, without setting the bell, there is hardly a man on his farm in the outskirts of Concord, notwithstanding that press of engagements which was his excuse so many times this morning, nor a boy, nor a woman, I might almost say, but would forsake all and follow that sound, not mainly to save property from the flames, but, if we will confess the truth, much more to see it burn, since burn it must, and we, be it known, did not set it on fire﻿—or to see it put out, and have a hand in it, if that is done as handsomely; yes, even if it were the parish church itself.",Likely physically present (positive sentiment)
Concord,43.207178,-71.537476,"Let us settle ourselves, and work and wedge our feet downward through the mud and slush of opinion, and prejudice, and tradition, and delusion, and appearance, that alluvion which covers the globe, through Paris and London, through New York and Boston and Concord, through Church and State, through poetry and philosophy and religion, till we come to a hard bottom and rocks in place, which we can call reality, and say, This is, and no mistake; and then begin, having a point d’appui, below freshet and frost and fire, a place where you might found a wall or a state, or set a lamppost safely, or perhaps a gauge, not a Nilometer, but a Realometer, that future ages might know how deep a freshet of shams and appearances had gathered from time to time.",Unclear
Concord,43.207178,-71.537476,"Suddenly an unmistakable cat-owl from very near me, with the most harsh and tremendous voice I ever heard from any inhabitant of the woods, responded at regular intervals to the goose, as if determined to expose and disgrace this intruder from Hudson’s Bay by exhibiting a greater compass and volume of voice in a native, and boo-hoo him out of Concord horizon.",Unclear
Concord,43.207178,-71.537476,"
I also heard the whooping of the ice in the pond, my great bedfellow in that part of Concord, as if it were restless in its bed and would fain turn over, were troubled with flatulency and had dreams; or I was waked by the cracking of the ground by the frost, as if someone had driven a team against my door, and in the morning would find a crack in the earth a quarter of a mile long and a third of an inch wide.",Unclear
Concord,43.207178,-71.537476,"That evening a Weston squire came to the Concord hunter’s cottage to inquire for his hounds, and told how for a week they had been hunting on their own account from Weston woods.",Unclear
Concord,43.207178,-71.537476,The Concord hunter told him what he knew and offered him the skin; but the other declined it and departed.,Unclear
Concord,43.207178,-71.537476,"
The hunter who told me this could remember one Sam Nutting, who used to hunt bears on Fair Haven Ledges, and exchange their skins for rum in Concord village; who told him, even, that he had seen a moose there.",Mentally present
the British Empire,48.6549834,-123.43968,"It is said that the British Empire is very large and respectable, and that the United States are a first-rate power.",Likely physically present (positive sentiment)
the British Empire,48.6549834,-123.43968,"We do not believe that a tide rises and falls behind every man which can float the British Empire like a chip, if he should ever harbor it in his mind.",Unclear
the United States,47.828787466909134,-122.59894783123687,"It is said that the British Empire is very large and respectable, and that the United States are a first-rate power.",Likely physically present (positive sentiment)
the United States,47.828787466909134,-122.59894783123687,"The source text and artwork in this ebook are believed to be in the United States public domain; that is, they are believed to be free of copyright restrictions in the United States.",Likely physically present (positive sentiment)
the United States,47.828787466909134,-122.59894783123687,"The source text and artwork in this ebook are believed to be in the United States public domain; that is, they are believed to be free of copyright restrictions in the United States.",Likely physically present (positive sentiment)
the United States,47.828787466909134,-122.59894783123687,"They may still be copyrighted in other countries, so users located outside of the United States must check their local laws before using this ebook.",Unclear
the United States,47.828787466909134,-122.59894783123687,"Unlike them, this Uncopyright page exists to tell you that the writing and artwork in this ebook are believed to be in the United States public domain; that is, they are believed to be free of copyright restrictions in the United States.",Likely physically present (positive sentiment)
the United States,47.828787466909134,-122.59894783123687,"Unlike them, this Uncopyright page exists to tell you that the writing and artwork in this ebook are believed to be in the United States public domain; that is, they are believed to be free of copyright restrictions in the United States.",Likely physically present (positive sentiment)
the United States,47.828787466909134,-122.59894783123687,"The United States public domain represents our collective cultural heritage, and items in it are free for anyone in the United States to do almost anything at all with, without having to get permission.",Likely physically present (positive sentiment)
the United States,47.828787466909134,-122.59894783123687,"The United States public domain represents our collective cultural heritage, and items in it are free for anyone in the United States to do almost anything at all with, without having to get permission.",Likely physically present (positive sentiment)
the United States,47.828787466909134,-122.59894783123687,"If you’re not located in the United States, you must check your local laws before using this ebook.",Unclear
the United States,47.828787466909134,-122.59894783123687,Standard Ebooks makes no representations regarding the copyright status of the source text or artwork in this ebook in any country other than the United States.,Unclear
Britain,54.3151594,-1.9181532111487878,"The government of the world I live in was not framed, like that of Britain, in after-dinner conversations over the wine.",Unclear
Connecticut,41.6500201,-72.7342163,"Everyone has heard the story which has gone the rounds of New England, of a strong and beautiful bug which came out of the dry leaf of an old table of apple-tree wood, which had stood in a farmer’s kitchen for sixty years, first in Connecticut, and afterward in Massachusetts﻿—from an egg deposited in the living tree many years earlier still, as appeared by counting the annual layers beyond it; which was heard gnawing out for several weeks, hatched perchance by the heat of an urn.",Likely physically present (positive sentiment)
Walden Pond,42.4391932,-71.33937794240677,"When I wrote the following pages, or rather the bulk of them, I lived alone, in the woods, a mile from any neighbor, in a house which I had built myself, on the shore of Walden Pond, in Concord, Massachusetts, and earned my living by the labor of my hands only.",Physically present
Walden Pond,42.4391932,-71.33937794240677,"My purpose in going to Walden Pond was not to live cheaply nor to live dearly there, but to transact some private business with the fewest obstacles; to be hindered from accomplishing which for want of a little common sense, a little enterprise and business talent, appeared not so sad as foolish.",Unclear
